Date,PM_2_5,T,Tm,TM,SLP,H,VV,V,VM
2021-01-01,75.0,31.4,21.2,31.4,1002.9,53.0,1.01,2.07,6.68
2021-01-02,62.7,23.9,17.5,23.9,1012.9,50.3,1.1,1.96,5.39
2021-01-03,41.4,27.1,18.2,27.1,999.7,47.9,2.15,0.48,4.54
2021-01-04,78.9,27.0,19.3,27.0,1005.7,72.8,2.67,0.16,3.04
2021-01-05,50.5,22.4,16.8,22.4,1003.5,35.2,3.83,1.3,3.78
2021-01-06,77.8,31.0,20.3,31.0,1010.6,79.5,0.2,3.03,4.24
2021-01-07,59.0,36.8,28.0,36.8,1000.4,58.3,3.37,1.77,5.37
2021-01-08,73.3,31.4,22.7,31.4,1004.6,73.3,1.81,2.15,1.63
2021-01-09,60.5,24.0,19.2,24.0,1019.2,47.9,1.31,2.78,0.5
2021-01-10,63.4,30.4,19.6,30.4,1015.5,89.2,1.95,1.7,7.05
2021-01-11,64.3,24.2,18.8,24.2,1009.0,73.5,0.83,1.99,3.11
2021-01-12,104.2,33.6,22.6,33.6,1015.3,67.9,4.08,1.99,5.17
2021-01-13,42.7,26.4,21.4,26.4,993.7,74.5,1.15,2.2,8.49
2021-01-14,54.2,27.0,17.5,27.0,1013.9,66.1,2.19,2.84,5.04
2021-01-15,49.2,29.7,19.7,29.7,1001.6,43.2,1.21,3.17,4.39
2021-01-16,77.2,25.7,17.6,25.7,994.0,48.6,3.04,0.1,5.69
2021-01-17,31.3,31.6,23.0,31.6,1016.2,51.3,0.2,3.5,6.88
2021-01-18,73.4,30.1,18.9,30.1,1002.2,69.8,1.69,1.94,2.41
2021-01-19,59.3,22.3,14.9,22.3,1008.8,92.1,2.52,1.17,3.35
2021-01-20,61.0,26.7,20.0,26.7,1007.6,47.2,1.29,3.98,2.66
2021-01-21,48.6,29.2,21.3,29.2,998.4,74.6,1.55,0.1,5.47
2021-01-22,74.4,25.8,20.3,25.8,1013.6,59.7,2.29,0.67,1.57
2021-01-23,108.4,28.4,18.0,28.4,1009.7,66.4,1.74,2.76,3.4
2021-01-24,71.2,26.1,20.1,26.1,1015.4,69.0,1.65,0.34,5.9
2021-01-25,99.2,25.9,19.4,25.9,1016.3,67.3,3.88,1.45,7.03
2021-01-26,43.8,27.8,23.4,27.8,1017.0,92.6,4.73,0.63,0.62
2021-01-27,95.4,25.0,15.9,25.0,1016.7,53.8,0.2,2.31,4.09
2021-01-28,68.9,25.7,20.2,25.7,997.9,73.3,1.04,0.1,5.01
2021-01-29,73.5,32.1,21.6,32.1,1004.7,78.3,1.17,2.23,2.43
2021-01-30,83.9,27.1,21.4,27.1,998.9,91.7,2.37,1.98,1.1
2021-01-31,63.5,30.0,23.0,30.0,1010.6,74.7,4.23,1.97,0.5
2021-02-01,57.7,18.1,12.1,18.1,1004.5,62.4,4.5,2.06,1.65
2021-02-02,51.5,34.6,24.5,34.6,1010.4,43.0,2.56,2.97,5.11
2021-02-03,80.4,26.5,15.8,26.5,1004.5,46.2,0.59,1.83,3.99
2021-02-04,41.9,36.7,26.9,36.7,1006.3,84.5,3.07,0.1,4.5
2021-02-05,73.5,25.9,20.3,25.9,1007.8,67.2,4.28,2.4,3.99
2021-02-06,113.2,26.9,17.8,26.9,995.5,94.8,3.95,3.1,5.34
2021-02-07,77.8,26.3,20.9,26.3,1008.4,80.5,4.77,2.67,3.88
2021-02-08,60.5,28.2,17.5,28.2,1014.1,58.3,1.98,0.67,3.87
2021-02-09,96.8,25.5,18.4,25.5,1008.2,80.6,0.2,1.72,2.29
2021-02-10,97.1,21.9,16.9,21.9,999.0,94.3,2.03,1.28,4.38
2021-02-11,74.9,27.3,16.0,27.3,1026.1,81.1,2.2,0.75,4.64
2021-02-12,43.8,25.3,15.6,25.3,1002.8,38.4,4.79,2.31,5.11
2021-02-13,123.8,25.0,19.2,25.0,999.2,65.2,4.72,3.15,2.12
2021-02-14,53.6,27.3,18.0,27.3,1008.4,66.6,2.95,1.64,3.92
2021-02-15,80.2,30.0,19.7,30.0,1025.0,45.8,2.58,0.1,4.78
2021-02-16,26.3,26.1,14.4,26.1,1015.6,65.4,0.2,1.55,2.64
2021-02-17,90.9,33.6,29.0,33.6,1003.8,62.9,2.42,1.79,1.7
2021-02-18,77.9,26.2,15.4,26.2,1018.5,79.1,1.79,2.62,3.74
2021-02-19,65.3,27.4,18.6,27.4,998.4,91.2,2.21,2.26,6.0
2021-02-20,31.7,27.3,16.9,27.3,1013.1,83.1,4.04,2.25,1.57
2021-02-21,51.7,32.8,23.2,32.8,994.8,55.1,3.4,3.61,3.23
2021-02-22,67.6,25.3,15.5,25.3,1008.6,92.5,1.53,2.2,0.66
2021-02-23,65.4,28.6,23.9,28.6,1018.6,68.5,0.93,1.4,3.08
2021-02-24,73.8,22.4,17.9,22.4,1007.6,48.3,0.57,1.94,5.77
2021-02-25,36.8,29.7,20.0,29.7,1002.2,83.4,1.72,3.8,2.44
2021-02-26,84.7,26.3,19.1,26.3,1014.7,58.8,3.4,1.94,1.83
2021-02-27,72.4,26.9,20.2,26.9,1002.7,57.9,0.2,2.78,1.84
2021-02-28,29.8,30.6,19.8,30.6,997.8,68.5,1.39,0.64,4.76
2021-03-01,19.8,23.5,17.1,23.5,1004.0,60.8,1.04,0.55,0.5
2021-03-02,86.5,29.8,18.7,29.8,1009.8,51.0,2.57,4.29,1.92
2021-03-03,8.0,21.5,16.0,21.5,1016.0,84.7,1.06,0.33,3.29
2021-03-04,74.8,17.1,8.7,17.1,1001.4,54.0,0.88,1.66,0.99
2021-03-05,15.6,33.1,25.5,33.1,1006.8,76.0,0.2,1.53,3.94
2021-03-06,37.9,27.4,19.6,27.4,1009.5,72.9,4.44,4.24,3.73
2021-03-07,20.8,24.3,19.7,24.3,1004.1,81.3,0.94,2.73,3.79
2021-03-08,46.3,27.2,19.3,27.2,1002.4,74.4,1.68,2.28,3.99
2021-03-09,8.0,27.8,20.3,27.8,1005.1,43.5,0.2,2.11,4.3
2021-03-10,36.0,24.6,18.3,24.6,1002.2,36.5,1.67,2.11,1.59
2021-03-11,45.9,26.7,20.6,26.7,1006.5,46.0,0.2,2.55,4.49
2021-03-12,47.1,32.9,21.5,32.9,1007.9,75.1,3.15,2.25,0.97
2021-03-13,53.4,36.3,24.7,36.3,1011.9,41.9,3.91,1.82,0.5
2021-03-14,49.4,22.9,14.0,22.9,1004.9,75.7,1.94,2.33,7.5
2021-03-15,79.9,23.7,19.6,23.7,999.9,76.6,3.14,2.47,4.22
2021-03-16,64.9,22.0,16.9,22.0,1015.8,53.2,4.11,2.48,3.38
2021-03-17,49.1,26.8,16.0,26.8,1014.6,35.2,2.96,0.1,3.27
2021-03-18,25.0,22.2,16.5,22.2,1007.3,91.4,3.07,1.28,3.97
2021-03-19,58.9,17.1,9.0,17.1,1014.3,68.0,5.05,3.36,4.63
2021-03-20,47.5,29.7,23.1,29.7,1009.7,62.3,5.44,1.81,3.9
2021-03-21,45.0,32.4,25.4,32.4,1021.8,76.9,2.22,1.76,5.57
2021-03-22,66.1,23.8,14.0,23.8,1012.7,63.2,0.22,3.25,4.99
2021-03-23,52.3,23.9,18.1,23.9,1008.1,45.4,1.13,0.98,4.41
2021-03-24,22.4,28.9,22.7,28.9,1002.6,65.4,1.97,3.1,2.73
2021-03-25,29.0,35.8,24.8,35.8,1026.0,35.3,2.83,3.84,3.75
2021-03-26,15.6,31.0,20.5,31.0,1003.4,62.2,0.34,2.8,2.48
2021-03-27,36.5,25.5,20.9,25.5,1007.3,92.2,1.16,1.57,1.95
2021-03-28,68.3,28.6,19.9,28.6,1007.2,68.0,3.55,0.1,1.93
2021-03-29,30.5,40.7,30.1,40.7,1009.1,67.7,5.59,1.72,3.27
2021-03-30,70.3,31.5,22.0,31.5,1005.9,41.4,5.06,2.68,5.37
2021-03-31,8.0,33.8,22.6,33.8,1013.5,54.9,1.99,0.1,4.74
2021-04-01,21.5,22.6,14.7,22.6,1007.3,79.7,4.33,2.3,6.22
2021-04-02,89.5,21.0,16.1,21.0,1002.8,53.7,1.75,2.1,0.5
2021-04-03,48.6,19.3,10.0,19.3,1009.1,44.9,2.39,1.35,2.78
2021-04-04,8.0,23.6,15.9,23.6,1025.8,70.2,3.56,1.19,6.89
2021-04-05,38.6,23.0,15.7,23.0,1010.7,59.4,2.37,0.7,3.25
2021-04-06,97.0,20.8,15.7,20.8,1014.3,71.1,0.83,1.75,5.84
2021-04-07,46.7,28.3,16.5,28.3,1004.6,42.7,1.72,3.79,0.5
2021-04-08,23.2,18.1,13.9,18.1,1014.9,71.7,0.2,2.9,3.41
2021-04-09,23.4,27.6,18.2,27.6,993.4,44.4,0.25,1.22,4.74
2021-04-10,47.8,28.5,22.3,28.5,997.7,91.6,1.12,0.54,4.87
2021-04-11,23.9,15.7,8.1,15.7,1009.1,61.0,2.66,2.76,4.08
2021-04-12,70.9,28.1,17.7,28.1,1013.3,49.0,2.25,1.69,4.42
2021-04-13,8.0,31.6,22.5,31.6,1000.3,41.4,2.08,1.89,2.56
2021-04-14,42.3,20.7,13.4,20.7,1004.2,50.2,3.97,5.09,1.98
2021-04-15,28.4,17.3,12.6,17.3,1000.8,47.1,2.46,0.83,2.09
2021-04-16,28.1,19.9,8.0,19.9,1006.7,37.5,2.22,0.1,3.07
2021-04-17,60.0,22.3,18.2,22.3,1002.9,68.0,1.63,0.6,2.4
2021-04-18,76.2,28.3,16.9,28.3,1006.2,47.3,1.6,1.81,8.97
2021-04-19,59.2,23.1,14.0,23.1,1012.6,54.1,1.77,0.1,3.44
2021-04-20,40.4,21.2,16.4,21.2,1012.5,89.2,0.85,3.04,8.19
2021-04-21,59.3,25.4,17.0,25.4,1024.3,41.0,2.33,2.55,5.49
2021-04-22,29.1,25.4,17.2,25.4,1011.0,88.4,0.79,1.97,5.75
2021-04-23,15.8,22.7,15.0,22.7,1001.4,37.1,0.91,3.36,8.63
2021-04-24,90.6,21.6,15.1,21.6,1011.0,35.5,4.82,0.42,6.11
2021-04-25,38.8,32.8,21.6,32.8,1004.6,51.8,3.6,2.04,4.98
2021-04-26,27.0,16.6,8.0,16.6,1015.6,65.7,2.6,3.24,3.09
2021-04-27,22.3,25.9,15.2,25.9,998.9,78.8,1.54,0.68,6.52
2021-04-28,37.6,16.4,10.8,16.4,1017.4,93.5,1.86,2.49,5.43
2021-04-29,23.9,23.4,17.4,23.4,1005.7,67.4,2.6,2.04,2.87
2021-04-30,29.4,31.7,20.5,31.7,1017.1,64.6,3.38,4.73,2.35
2021-05-01,60.2,24.5,14.7,24.5,1023.6,71.2,1.05,2.8,5.58
2021-05-02,58.4,22.5,15.7,22.5,1015.2,50.5,4.04,0.1,5.27
2021-05-03,14.1,30.9,19.8,30.9,1002.9,45.7,1.13,0.9,0.87
2021-05-04,39.3,23.6,18.0,23.6,1008.9,52.4,2.53,1.89,5.15
2021-05-05,66.5,18.7,14.6,18.7,1008.7,43.1,1.15,3.23,3.2
2021-05-06,51.6,22.0,12.7,22.0,1013.1,58.9,5.53,2.45,7.55
2021-05-07,64.0,24.5,13.4,24.5,1013.5,65.3,2.57,1.66,0.5
2021-05-08,34.4,12.2,8.0,12.2,1004.2,92.5,2.17,2.33,1.14
2021-05-09,8.0,20.5,11.7,20.5,1002.3,41.5,0.92,2.78,1.26
2021-05-10,47.5,23.8,14.7,23.8,1014.6,86.8,2.79,2.15,2.05
2021-05-11,54.6,24.9,15.0,24.9,1009.7,94.5,0.2,1.64,5.76
2021-05-12,31.2,21.9,12.8,21.9,999.0,66.0,6.16,3.37,1.78
2021-05-13,18.2,20.9,14.4,20.9,1003.4,59.6,3.83,3.04,3.25
2021-05-14,12.1,14.4,9.8,14.4,992.2,38.0,1.55,2.58,7.74
2021-05-15,69.3,22.0,11.4,22.0,1019.3,54.7,1.07,1.87,0.8
2021-05-16,76.8,19.0,8.0,19.0,1007.8,52.6,2.75,2.33,3.57
2021-05-17,68.4,18.0,8.0,18.0,1004.3,43.8,2.83,0.91,2.72
2021-05-18,59.8,21.9,17.4,21.9,1026.3,94.0,0.31,2.36,9.02
2021-05-19,59.6,27.2,16.9,27.2,1005.7,38.4,1.67,2.89,3.2
2021-05-20,29.0,20.2,11.2,20.2,1002.8,35.8,4.06,2.44,5.01
2021-05-21,48.9,26.3,16.2,26.3,1007.5,52.4,0.87,3.61,4.07
2021-05-22,21.3,21.6,14.0,21.6,1011.3,69.9,4.21,1.06,0.5
2021-05-23,21.7,19.1,8.0,19.1,1018.5,63.3,0.49,1.09,7.56
2021-05-24,48.0,22.4,16.0,22.4,1029.6,71.6,2.71,2.43,5.23
2021-05-25,24.7,22.8,11.8,22.8,1002.4,42.7,2.64,4.81,2.3
2021-05-26,37.0,26.7,15.3,26.7,1018.4,44.7,1.27,0.1,2.15
2021-05-27,53.4,27.5,16.2,27.5,1007.0,50.7,3.26,1.29,3.5
2021-05-28,8.0,16.1,11.4,16.1,992.5,52.6,2.83,1.55,2.38
2021-05-29,38.5,23.1,16.0,23.1,995.0,80.8,1.22,1.34,4.45
2021-05-30,56.0,30.5,19.6,30.5,1017.4,56.5,4.2,3.67,3.71
2021-05-31,35.6,27.8,19.3,27.8,1011.7,91.9,1.95,0.1,2.22
2021-06-01,24.5,25.0,19.6,25.0,1009.4,88.4,1.25,2.48,3.5
2021-06-02,40.1,31.0,23.0,31.0,998.0,74.4,0.31,0.56,6.61
2021-06-03,30.7,18.2,9.9,18.2,1020.1,91.4,1.49,1.6,4.57
2021-06-04,41.0,30.6,20.7,30.6,1019.5,39.5,3.49,0.16,3.74
2021-06-05,32.8,22.1,14.5,22.1,1007.1,71.9,4.67,2.8,4.44
2021-06-06,48.2,27.6,20.3,27.6,990.3,64.6,1.82,0.82,4.4
2021-06-07,54.8,24.8,14.1,24.8,1026.2,55.6,0.65,2.29,4.85
2021-06-08,8.0,28.4,19.2,28.4,1002.6,43.3,3.66,1.24,4.66
2021-06-09,22.7,33.9,27.3,33.9,1021.1,50.8,2.31,2.87,5.79
2021-06-10,56.7,27.8,17.3,27.8,1005.7,54.3,3.37,3.68,4.84
2021-06-11,51.5,29.6,22.1,29.6,998.1,78.6,0.34,3.91,2.31
2021-06-12,55.8,27.3,18.3,27.3,1018.0,88.3,2.2,2.1,4.35
2021-06-13,11.7,22.4,15.9,22.4,996.4,66.8,1.14,2.22,5.68
2021-06-14,23.6,25.9,19.1,25.9,1018.9,62.6,3.43,2.22,0.5
2021-06-15,8.0,21.5,16.9,21.5,1012.3,88.6,0.38,3.72,7.61
2021-06-16,25.7,20.1,15.1,20.1,1017.1,64.7,3.58,3.52,5.08
2021-06-17,8.0,28.2,21.3,28.2,1008.3,43.4,3.82,2.5,4.77
2021-06-18,8.0,15.9,10.8,15.9,1004.3,84.2,0.6,1.41,0.5
2021-06-19,8.0,18.6,9.5,18.6,1013.3,57.2,0.25,1.18,5.83
2021-06-20,19.6,24.3,14.7,24.3,1007.3,82.9,0.52,2.4,4.61
2021-06-21,8.0,19.3,12.1,19.3,1014.6,46.4,3.43,2.69,0.5
2021-06-22,17.2,29.2,17.7,29.2,992.9,73.8,3.63,3.9,0.5
2021-06-23,90.3,22.1,11.5,22.1,1019.9,75.3,2.72,0.61,5.25
2021-06-24,8.0,14.9,8.0,14.9,1015.7,86.1,1.13,3.76,7.18
2021-06-25,63.9,20.7,15.9,20.7,1008.6,92.0,0.2,2.11,2.02
2021-06-26,20.9,23.1,15.6,23.1,1020.4,65.3,4.31,1.06,3.33
2021-06-27,47.8,16.9,11.0,16.9,999.4,43.3,4.95,1.1,4.45
2021-06-28,8.0,16.3,11.4,16.3,1021.6,55.9,3.22,1.14,5.41
2021-06-29,16.6,24.5,19.2,24.5,1012.2,91.6,1.63,1.51,0.56
2021-06-30,14.0,14.4,10.3,14.4,1002.3,50.4,3.18,0.3,2.37
2021-07-01,8.0,30.9,19.0,30.9,1016.8,39.1,4.7,0.18,7.0
2021-07-02,8.6,19.7,8.0,19.7,1022.6,86.2,2.75,1.74,4.2
