Date,Area Name,Road Name,Congestion_Level,Average_Speed,Incident_Reports,Road_Capacity_Utilization,Pedestrian_and_Cyclist_Count,Public_Transport_Usage,Traffic_Signal_Compliance,Traffic_Volume,Weather_Condition,Roadwork_Activity
2023-09-21,Indiranagar,Road_13,79.0,12.1,0,91.5,137,64.3,87.5,2809,Clear,Major
2022-12-22,Electronic City,Road_9,82.3,17.7,2,87.9,227,67.2,82.1,787,Clear,Major
2022-03-07,Silk Board,Road_6,68.1,23.3,0,69.7,244,32.0,65.4,3845,Cloudy,Major
2024-07-17,Silk Board,Road_6,63.9,27.2,0,62.3,142,51.4,67.9,1084,Cloudy,Major
2022-06-04,Brigade Road,Road_7,55.9,25.9,1,65.3,216,43.0,83.9,3365,Clear,Major
2022-01-08,Koramangala,Road_13,78.5,15.0,2,88.5,57,35.2,83.4,1129,Cloudy,Minor
2022-03-18,MG Road,Road_10,72.0,18.4,1,81.6,202,49.7,67.5,1744,Rain,Major
2022-08-13,MG Road,Road_1,59.0,27.1,0,67.9,75,65.3,83.3,3006,Rain,Minor
2022-11-05,Electronic City,Road_14,68.6,19.1,1,70.6,83,52.5,65.3,2737,Cloudy,Minor
2023-01-01,Electronic City,Road_3,67.9,15.4,0,72.3,118,73.3,91.8,1031,Rain,Major
2024-01-04,Electronic City,Road_5,68.7,20.1,0,79.6,243,34.3,91.6,1074,Rain,Major
2022-10-21,Koramangala,Road_12,77.9,17.8,3,78.1,78,59.2,63.0,3128,Haze,Minor
2022-06-22,MG Road,Road_1,80.0,12.2,0,87.9,148,37.7,92.4,4953,Cloudy,Minor
2023-07-22,Whitefield,Road_10,67.3,22.7,0,60.6,62,51.9,77.2,872,Rain,Major
2023-06-05,Koramangala,Road_10,78.2,17.1,1,76.7,144,67.2,91.4,2942,Clear,None
2022-04-15,Marathahalli,Road_6,64.2,26.5,1,68.7,172,40.4,61.3,4622,Clear,Minor
2022-10-25,Marathahalli,Road_6,80.1,16.4,1,77.8,215,41.5,92.8,1313,Clear,Minor
2023-02-22,Indiranagar,Road_5,54.7,26.5,0,61.0,94,53.3,71.1,4520,Clear,Major
2023-01-29,Whitefield,Road_11,75.1,13.8,0,92.4,124,40.8,64.3,804,Haze,Major
2022-06-22,Koramangala,Road_12,92.5,12.0,3,88.7,236,40.3,64.6,562,Clear,Major
2022-10-12,Brigade Road,Road_2,59.9,22.7,0,55.1,151,62.2,85.9,4216,Clear,Minor
2024-06-09,Indiranagar,Road_10,64.2,24.7,0,66.6,112,42.9,92.4,4800,Rain,None
2022-05-23,Marathahalli,Road_9,57.0,35.1,0,62.7,176,56.8,92.7,3822,Haze,Minor
2024-01-24,Electronic City,Road_11,76.8,17.5,2,91.4,203,69.0,81.1,3227,Rain,Minor
2024-06-08,Indiranagar,Road_6,68.9,29.4,0,59.8,135,40.6,86.1,4283,Haze,Major
2022-03-05,Indiranagar,Road_15,65.6,21.1,1,73.3,233,37.4,70.0,4644,Cloudy,None
2023-06-03,Electronic City,Road_2,69.8,22.5,0,76.7,54,60.6,73.8,4226,Rain,Major
2024-04-20,Marathahalli,Road_12,61.3,34.8,0,68.9,95,55.7,74.6,1622,Rain,None
2024-06-07,Indiranagar,Road_6,56.7,27.1,0,71.2,154,34.5,89.5,4103,Haze,None
2024-02-09,Brigade Road,Road_6,73.2,18.4,1,78.6,114,68.6,76.2,2814,Haze,Minor
2022-08-28,Silk Board,Road_11,65.5,29.0,0,56.5,103,46.5,72.8,3816,Rain,Minor
2023-10-21,Electronic City,Road_3,69.0,25.6,1,84.4,142,68.2,82.8,2909,Clear,Major
2024-01-06,Marathahalli,Road_9,61.6,26.6,0,74.5,176,68.7,64.6,4786,Cloudy,Minor
2023-11-28,Indiranagar,Road_10,78.8,12.7,0,71.2,83,56.7,87.4,4103,Haze,Major
2022-03-28,Brigade Road,Road_16,55.4,23.0,0,55.0,100,55.4,80.0,2641,Rain,Major
